,StateName,Abbrev,Date,AvgPrice,Type,MORTGAGE30US,MonthlyPayment,AvgRent
0,California,CA,2015-01-31,688619.3117488307,Multifamily,3.66,1680.23,1250.0141461520536
1,Texas,TX,2015-01-31,358877.6754921455,Multifamily,3.66,875.66,935.3266142837784
2,Florida,FL,2015-01-31,399783.772305049,Multifamily,3.66,975.47,1021.3422048316091
3,New York,NY,2015-01-31,434986.7270780413,Multifamily,3.66,1061.37,1010.9501131121418
4,Pennsylvania,PA,2015-01-31,290014.8895899558,Multifamily,3.66,707.64,903.7477529684318
5,Illinois,IL,2015-01-31,354376.49230671016,Multifamily,3.66,864.68,858.8112587431389
6,Ohio,OH,2015-01-31,248505.8437584796,Multifamily,3.66,606.35,875.5843900858162
7,Georgia,GA,2015-01-31,314917.4734125482,Multifamily,3.66,768.4,919.091534427919
8,North Carolina,NC,2015-01-31,372067.0674421843,Multifamily,3.66,907.84,925.9537783076744
9,Michigan,MI,2015-01-31,251586.67434628156,Multifamily,3.66,613.87,892.2602342179803
10,New Jersey,NJ,2015-01-31,618720.0362470908,Multifamily,3.66,1509.68,1077.8392548829188
11,Virginia,VA,2015-01-31,525733.716688007,Multifamily,3.66,1282.79,994.6369442623235
12,Washington,WA,2015-01-31,415898.7049405291,Multifamily,3.66,1014.79,920.5601081136032
13,Arizona,AZ,2015-01-31,351599.5538905351,Multifamily,3.66,857.9,948.6852027379797
14,Massachusetts,MA,2015-01-31,628622.6930424528,Multifamily,3.66,1533.84,1203.8597979700282
15,Tennessee,TN,2015-01-31,339460.64113271114,Multifamily,3.66,828.28,907.2140607557126
16,Indiana,IN,2015-01-31,262965.1605528283,Multifamily,3.66,641.63,827.283732141142
17,Maryland,MD,2015-01-31,482486.0586713741,Multifamily,3.66,1177.27,1010.2978758328547
18,Missouri,MO,2015-01-31,283252.27295104467,Multifamily,3.66,691.14,862.3702388406302
19,Wisconsin,WI,2015-01-31,238298.8488168294,Multifamily,3.66,581.45,906.1221746968691
20,Colorado,CO,2015-01-31,421306.6575518455,Multifamily,3.66,1027.99,960.4328770977719
21,Minnesota,MN,2015-01-31,331744.8367077072,Multifamily,3.66,809.46,914.8940943528623
22,South Carolina,SC,2015-01-31,313756.11638798076,Multifamily,3.66,765.56,939.6481386674561
23,Alabama,AL,2015-01-31,317034.94303605164,Multifamily,3.66,773.57,903.1132309293605
24,Louisiana,LA,2015-01-31,323837.77956895606,Multifamily,3.66,790.16,918.7780466267328
25,Kentucky,KY,2015-01-31,278554.36680430535,Multifamily,3.66,679.67,889.9749948539926
26,Oregon,OR,2015-01-31,407509.0038688099,Multifamily,3.66,994.32,890.7580936742742
27,Oklahoma,OK,2015-01-31,299544.88821376854,Multifamily,3.66,730.89,837.7263353698208
28,Connecticut,CT,2015-01-31,589739.6172096621,Multifamily,3.66,1438.96,1206.839173990585
29,Utah,UT,2015-01-31,319659.2488019353,Multifamily,3.66,779.97,914.6302074603213
30,Iowa,IA,2015-01-31,265911.1699167098,Multifamily,3.66,648.82,917.1062679944926
31,Nevada,NV,2015-01-31,339912.9374463292,Multifamily,3.66,829.39,874.0859906401439
32,Arkansas,AR,2015-01-31,304282.17538736115,Multifamily,3.66,742.45,868.685526670294
33,Mississippi,MS,2015-01-31,272654.9188166402,Multifamily,3.66,665.28,838.4095858585192
34,Kansas,KS,2015-01-31,269579.26285300107,Multifamily,3.66,657.77,831.1777031501671
35,New Mexico,NM,2015-01-31,307392.9906234488,Multifamily,3.66,750.04,879.8993872368263
36,Nebraska,NE,2015-01-31,256362.06941494055,Multifamily,3.66,625.52,836.1071998216885
37,Idaho,ID,2015-01-31,252438.15212125107,Multifamily,3.66,615.95,824.241883425833
38,West Virginia,ID,2015-01-31,216249.53347324012,Multifamily,3.66,527.65,824.241883425833
39,Hawaii,HI,2015-01-31,825950.9942439169,Multifamily,3.66,2015.32,1221.695821120022
40,New Hampshire,NH,2015-01-31,353763.8261073514,Multifamily,3.66,863.18,1026.1841965834692
41,Maine,ME,2015-01-31,292037.66921092616,Multifamily,3.66,712.57,1056.5429387934228
42,Rhode Island,RI,2015-01-31,396330.8818990551,Multifamily,3.66,967.05,1078.7044550747069
43,Montana,MT,2015-01-31,315570.42593053175,Multifamily,3.66,769.99,944.4085533492524
44,Delaware,DE,2015-01-31,416027.11082433304,Multifamily,3.66,1015.11,1004.8611402981746
45,South Dakota,SD,2015-01-31,271584.90312277706,Multifamily,3.66,662.67,1130.5049095156955
46,North Dakota,ND,2015-01-31,325201.09808228817,Multifamily,3.66,793.49,835.6120710354813
47,Alaska,AK,2015-01-31,430065.7145339564,Multifamily,3.66,1049.36,1036.0964202826904
49,Vermont,VT,2015-01-31,315281.5650955853,Multifamily,3.66,769.29,904.3984165236992
50,Wyoming,WY,2015-01-31,321861.41719523683,Multifamily,3.66,785.34,825.1164442891298
51,California,CA,2015-02-28,693579.4358280209,Multifamily,3.8,1757.07,1255.095457630442
52,Texas,TX,2015-02-28,361843.6332474837,Multifamily,3.8,916.67,935.5194839530255
53,Florida,FL,2015-02-28,402357.6436546087,Multifamily,3.8,1019.31,1020.5304797291262
54,New York,NY,2015-02-28,436295.2006125972,Multifamily,3.8,1105.28,1007.3237346916052
55,Pennsylvania,PA,2015-02-28,290985.63142914645,Multifamily,3.8,737.16,894.9109800090416
56,Illinois,IL,2015-02-28,354929.99166149745,Multifamily,3.8,899.16,862.0611911039487
57,Ohio,OH,2015-02-28,249988.03976090832,Multifamily,3.8,633.3,881.7602953324855
58,Georgia,GA,2015-02-28,316405.83886741014,Multifamily,3.8,801.56,915.3054890431662
59,North Carolina,NC,2015-02-28,373793.85223256814,Multifamily,3.8,946.94,930.140685375488
60,Michigan,MI,2015-02-28,253211.10173608563,Multifamily,3.8,641.47,890.7219778882838
61,New Jersey,NJ,2015-02-28,619685.1125960159,Multifamily,3.8,1569.87,1086.0861974775837
62,Virginia,VA,2015-02-28,526804.6397368613,Multifamily,3.8,1334.57,998.3486711710576
63,Washington,WA,2015-02-28,420158.1178309536,Multifamily,3.8,1064.4,918.4155832324332
64,Arizona,AZ,2015-02-28,352570.2724329306,Multifamily,3.8,893.18,955.295985590371
65,Massachusetts,MA,2015-02-28,632432.6779768987,Multifamily,3.8,1602.16,1206.9876062850549
66,Tennessee,TN,2015-02-28,341370.28324014315,Multifamily,3.8,864.8,910.0255717993327
67,Indiana,IN,2015-02-28,263806.0424512672,Multifamily,3.8,668.31,812.484951644977
68,Maryland,MD,2015-02-28,483676.50243264175,Multifamily,3.8,1225.31,1014.6693296469464
69,Missouri,MO,2015-02-28,284412.066801576,Multifamily,3.8,720.51,867.2369858798112
70,Wisconsin,WI,2015-02-28,239203.56384422476,Multifamily,3.8,605.98,896.4405184304511
71,Colorado,CO,2015-02-28,425665.75154889,Multifamily,3.8,1078.35,967.7849611249735
72,Minnesota,MN,2015-02-28,333438.52043542726,Multifamily,3.8,844.71,918.6199843717116
73,South Carolina,SC,2015-02-28,315026.7553705387,Multifamily,3.8,798.07,935.9536435135312
74,Alabama,AL,2015-02-28,318026.36999025714,Multifamily,3.8,805.67,899.1559000628979
75,Louisiana,LA,2015-02-28,325389.7045342009,Multifamily,3.8,824.32,913.6415791461236
76,Kentucky,KY,2015-02-28,279717.78657366644,Multifamily,3.8,708.62,893.8965120764825
77,Oregon,OR,2015-02-28,411345.33785355184,Multifamily,3.8,1042.07,895.1118238896817
78,Oklahoma,OK,2015-02-28,301264.88745603984,Multifamily,3.8,763.2,830.5910006540307
79,Connecticut,CT,2015-02-28,590545.8340436658,Multifamily,3.8,1496.05,1207.251688280691
80,Utah,UT,2015-02-28,321681.3028409057,Multifamily,3.8,814.93,916.1123622624322
81,Iowa,IA,2015-02-28,267718.4016787707,Multifamily,3.8,678.22,889.9571420975134
82,Nevada,NV,2015-02-28,341632.1151479474,Multifamily,3.8,865.47,878.0132300008847
83,Arkansas,AR,2015-02-28,305096.8509952743,Multifamily,3.8,772.91,856.0634909352196
84,Mississippi,MS,2015-02-28,274114.34234981897,Multifamily,3.8,694.42,841.1559338551438
85,Kansas,KS,2015-02-28,270799.3253045975,Multifamily,3.8,686.02,833.9679411772479
86,New Mexico,NM,2015-02-28,308011.41797369503,Multifamily,3.8,780.3,882.5401125954512
87,Nebraska,NE,2015-02-28,257979.144046713,Multifamily,3.8,653.55,839.9983071465497
88,Idaho,ID,2015-02-28,253602.31805542237,Multifamily,3.8,642.46,826.3480387897213
89,West Virginia,ID,2015-02-28,217544.31612581728,Multifamily,3.8,551.11,826.3480387897213
90,Hawaii,HI,2015-02-28,828929.5739996824,Multifamily,3.8,2099.95,1229.8660084831038
91,New Hampshire,NH,2015-02-28,355022.5579423251,Multifamily,3.8,899.39,1033.0867703186805
92,Maine,ME,2015-02-28,292205.86769904586,Multifamily,3.8,740.25,1061.1429043435885
93,Rhode Island,RI,2015-02-28,397632.950648933,Multifamily,3.8,1007.34,1094.6732088607791
94,Montana,MT,2015-02-28,317317.650483124,Multifamily,3.8,803.87,916.4547714073285
95,Delaware,DE,2015-02-28,417600.5236330609,Multifamily,3.8,1057.92,1015.8462355925731
96,South Dakota,SD,2015-02-28,273239.546906913,Multifamily,3.8,692.21,1134.0601165206765
97,North Dakota,ND,2015-02-28,328004.49088446936,Multifamily,3.8,830.94,838.1494244333628
98,Alaska,AK,2015-02-28,430942.6481751953,Multifamily,3.8,1091.72,1036.4775332297586
100,Vermont,VT,2015-02-28,316016.74367841164,Multifamily,3.8,800.58,913.1177089380975
101,Wyoming,WY,2015-02-28,323939.32702386595,Multifamily,3.8,820.65,826.1581978649289
